epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3611,2.13462,4.66651,1.75614,0.00701,0.3649,0.01899,0.0128,1.44705,5.04814,1.40124,2.275e-05,2.275e-05,2.275e-05
2,16.8482,1.81933,4.15629,1.54147,0.4701,0.07349,0.05491,0.03904,1.53475,4.34608,1.52692,4.94306e-05,4.94306e-05,4.94306e-05
3,22.0693,1.62944,3.69529,1.42294,0.71976,0.10563,0.10443,0.06998,1.57287,3.71883,1.61291,7.54356e-05,7.54356e-05,7.54356e-05
4,26.3533,1.56107,2.52665,1.26541,0.47286,0.27472,0.16792,0.10165,1.58742,3.8494,1.60107,0.000100765,0.000100765,0.000100765
5,31.2532,1.47789,1.93916,1.22049,0.69587,0.28218,0.32525,0.20207,1.55334,4.14716,1.61618,0.000125418,0.000125418,0.000125418
6,36.4112,1.44156,1.52495,1.21695,0.57253,0.38993,0.41877,0.26201,1.59913,4.37699,1.64667,0.000149396,0.000149396,0.000149396
7,40.1893,1.39746,1.40639,1.14969,0.66218,0.46594,0.50235,0.31017,1.61227,3.65871,1.62151,0.000172699,0.000172699,0.000172699
8,43.9749,1.37374,1.31804,1.14826,0.80914,0.50138,0.51622,0.32646,1.59722,2.88232,1.59367,0.000195325,0.000195325,0.000195325
9,49.5315,1.3718,1.16511,1.15922,0.5636,0.51084,0.50484,0.30866,1.61312,2.40692,1.61301,0.000217276,0.000217276,0.000217276
10,53.3797,1.30309,1.05715,1.12313,0.62748,0.50091,0.53016,0.33134,1.63271,1.85004,1.64014,0.000238551,0.000238551,0.000238551
11,56.9334,1.33588,1.11375,1.13105,0.643,0.60955,0.56024,0.35046,1.74048,1.81935,1.70338,0.000259151,0.000259151,0.000259151
12,61.3682,1.27452,0.99734,1.10493,0.54381,0.59234,0.5642,0.35436,1.83698,1.73282,1.77283,0.000279075,0.000279075,0.000279075
13,65.9969,1.27381,0.95849,1.13021,0.75734,0.54033,0.57938,0.37738,1.79894,1.64021,1.72719,0.000298323,0.000298323,0.000298323
14,69.6628,1.27443,0.9125,1.12241,0.68689,0.65424,0.64236,0.4126,1.62342,1.45146,1.62923,0.000316896,0.000316896,0.000316896
15,73.1352,1.24982,0.87479,1.11385,0.74557,0.66918,0.66859,0.45214,1.64151,1.28753,1.70041,0.000334792,0.000334792,0.000334792
16,77.8562,1.25487,0.84762,1.10654,0.7429,0.67265,0.68105,0.46494,1.5299,1.46609,1.67791,0.000352014,0.000352014,0.000352014
17,82.4243,1.25364,0.79704,1.07443,0.82239,0.57181,0.6644,0.45143,1.50958,1.59441,1.70042,0.00036491,0.00036491,0.00036491
18,85.877,1.23919,0.83611,1.10339,0.79763,0.56197,0.64328,0.42866,1.45036,1.67037,1.61604,0.000359279,0.000359279,0.000359279
19,89.0851,1.23666,0.78529,1.08234,0.76085,0.59895,0.64592,0.42984,1.43451,1.67707,1.58945,0.000353649,0.000353649,0.000353649
20,94.7124,1.2362,0.73974,1.05643,0.89404,0.59357,0.63772,0.42131,1.5154,1.59763,1.60438,0.000348018,0.000348018,0.000348018
21,98.3989,1.23164,0.7415,1.05528,0.78292,0.63678,0.66533,0.44039,1.55799,1.49056,1.6501,0.000342387,0.000342387,0.000342387
22,101.988,1.18985,0.69771,1.08422,0.8573,0.58984,0.66503,0.44965,1.49487,1.47638,1.6352,0.000336757,0.000336757,0.000336757
23,105.62,1.1918,0.72906,1.06536,0.82595,0.61297,0.67078,0.45908,1.53912,1.49968,1.67929,0.000331126,0.000331126,0.000331126
24,110.796,1.23425,0.7301,1.08292,0.86017,0.61369,0.67852,0.45004,1.57573,1.53275,1.70703,0.000325496,0.000325496,0.000325496
25,114.335,1.16408,0.73111,1.07818,0.84132,0.63401,0.66315,0.42828,1.63169,1.59004,1.70568,0.000319865,0.000319865,0.000319865
26,118.107,1.18262,0.68446,1.06874,0.89296,0.645,0.64733,0.43085,1.5677,1.53181,1.62749,0.000314234,0.000314234,0.000314234
27,121.99,1.18546,0.64556,1.04817,0.87703,0.62949,0.63482,0.42324,1.57785,1.56011,1.63952,0.000308604,0.000308604,0.000308604
28,126.73,1.15794,0.68079,1.04653,0.87924,0.61428,0.6298,0.41572,1.63536,1.5633,1.70343,0.000302973,0.000302973,0.000302973
29,130.158,1.16669,0.67985,1.06898,0.87127,0.63293,0.64717,0.42648,1.59645,1.54249,1.65537,0.000297342,0.000297342,0.000297342
30,133.714,1.17827,0.66609,1.06618,0.8775,0.64528,0.65445,0.43841,1.51027,1.64756,1.61675,0.000291712,0.000291712,0.000291712
31,137.67,1.10552,0.66406,1.03908,0.89074,0.63981,0.65046,0.4434,1.5381,1.71812,1.68529,0.000286081,0.000286081,0.000286081
32,142.25,1.08493,0.58594,1.01505,0.88186,0.62978,0.64298,0.42652,1.63519,1.69356,1.8018,0.000280451,0.000280451,0.000280451
33,145.672,1.06998,0.61748,1.03865,0.85428,0.63067,0.65154,0.43236,1.58923,1.64083,1.78604,0.00027482,0.00027482,0.00027482
34,149.046,1.10955,0.60625,1.03026,0.80844,0.63158,0.66325,0.45095,1.57794,1.52365,1.73514,0.000269189,0.000269189,0.000269189
35,153.063,1.06975,0.60166,1.02855,0.83015,0.64134,0.66837,0.45393,1.66156,1.60952,1.81245,0.000263559,0.000263559,0.000263559
