epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27861,2.96241,2.90346,1.96207,0.08959,0.12963,0.03951,0.01236,2.83117,2.63463,2.08368,0.0972211,0.0002211,0.0002211
2,5.71391,2.79735,5.18614,1.80221,0.08609,0.24074,0.07851,0.01952,3.00445,17.4705,2.18564,0.0935057,0.000505698,0.000505698
3,8.92614,2.84406,4.90362,1.75135,0.02542,0.05556,0.02171,0.00644,3.80877,82.9332,2.91121,0.0897786,0.000778636,0.000778636
4,13.1865,2.88701,6.32537,1.90538,0.00042,0.01852,0.00021,2e-05,nan,nan,nan,0.0860399,0.00103992,0.00103992
5,16.0237,3.04904,3.10965,2.03736,0,0,0,0,nan,nan,nan,0.0822895,0.00128954,0.00128954
6,18.7144,2.80928,2.58895,1.96911,0,0,0,0,nan,nan,nan,0.0785275,0.0015275,0.0015275
7,21.4171,2.70239,2.42901,1.99462,0,0,0,0,nan,nan,nan,0.0747538,0.0017538,0.0017538
8,24.239,2.74425,2.39982,1.98035,0,0,0,0,nan,nan,nan,0.0709684,0.00196844,0.00196844
9,27.2459,2.60455,2.15156,1.92631,0,0,0,0,nan,nan,nan,0.0671714,0.00217142,0.00217142
10,29.9841,2.74983,2.08472,1.92006,0,0,0,0,nan,nan,nan,0.0633627,0.00236274,0.00236274
11,35.9259,2.8423,2.13413,1.99321,0,0,0,0,nan,nan,nan,0.0595424,0.0025424,0.0025424
12,38.9271,2.7856,2.28913,2.0359,0,0,0,0,nan,nan,nan,0.0557104,0.00271041,0.00271041
13,41.779,2.7026,2.03247,1.95083,0,0,0,0,nan,nan,nan,0.0518668,0.00286675,0.00286675
14,46.099,2.75926,2.15154,2.08797,0,0,0,0,nan,nan,nan,0.0480114,0.00301144,0.00301144
15,48.7988,2.70511,2.0911,1.94098,0,0,0,0,nan,nan,nan,0.0441445,0.00314446,0.00314446
16,52.0158,2.6267,1.90996,1.90558,0,0,0,0,nan,nan,nan,0.0402658,0.00326583,0.00326583
17,58.4492,2.57642,1.9597,1.92929,0,0,0,0,nan,nan,nan,0.0363755,0.00337553,0.00337553
18,61.1602,2.58728,1.82237,1.91216,0.00046,0.01852,0.00021,0.00011,nan,nan,nan,0.0324736,0.00347358,0.00347358
19,64.0055,2.50173,1.9948,1.93455,0.00553,0.2037,0.00319,0.001,nan,nan,nan,0.02856,0.00355997,0.00355997
20,67.0634,2.47402,1.90899,1.89954,0.00042,0.01852,0.00033,0.00013,nan,nan,nan,0.0246347,0.00363469,0.00363469
21,69.7676,2.53408,1.91648,1.93106,0.00322,0.12963,0.00169,0.00051,4.43874,inf,5.3423,0.0206978,0.00369776,0.00369776
22,72.4973,2.50696,1.90548,1.98866,0.0622,0.16667,0.02366,0.00486,3.73426,13.7162,3.61709,0.0167492,0.00374917,0.00374917
23,75.3697,2.39896,1.81983,1.91846,0.11319,0.16667,0.05354,0.01308,3.4871,8.43946,3.29317,0.0127889,0.00378892,0.00378892
24,81.1046,2.53948,1.7303,1.87026,0.20889,0.2054,0.12089,0.03072,3.34009,6.49784,3.24933,0.00881701,0.00381701,0.00381701
25,84.5912,2.38418,1.71651,1.78947,0.18833,0.11111,0.04937,0.01415,3.41807,4.82254,3.31485,0.00483344,0.00383344,0.00383344
26,87.3348,2.38645,1.71984,1.74569,0.19659,0.18519,0.12479,0.02282,3.38224,6.69936,3.14734,0.00372642,0.00372642,0.00372642
27,90.6415,2.35061,1.55216,1.74934,0.1646,0.16667,0.07154,0.0169,3.61064,6.64474,3.39343,0.00358068,0.00358068,0.00358068
28,93.3868,2.27172,1.59228,1.71679,0.26371,0.12963,0.09695,0.01884,3.67721,3.69056,3.09681,0.00343493,0.00343493,0.00343493
29,96.0655,2.33365,1.5581,1.68893,0.28158,0.12963,0.10146,0.02932,3.35786,3.20409,2.87283,0.00328919,0.00328919,0.00328919
30,99.5659,2.14818,1.47885,1.67784,0.1982,0.22222,0.11903,0.03853,3.31969,3.93251,2.84402,0.00314345,0.00314345,0.00314345
31,105.688,2.13892,1.4433,1.63687,0.19593,0.27778,0.14296,0.0439,3.28234,4.19975,2.84817,0.0029977,0.0029977,0.0029977
32,108.902,2.07925,1.43147,1.65702,0.26119,0.22222,0.15827,0.04271,3.51232,3.77503,3.08084,0.00285196,0.00285196,0.00285196
33,112.097,2.19866,1.43822,1.70724,0.2104,0.14815,0.07742,0.02413,3.48658,4.56104,2.93381,0.00270622,0.00270622,0.00270622
34,115.153,2.09211,1.38453,1.58056,0.35564,0.2037,0.12434,0.03181,3.39553,3.54546,2.73353,0.00256047,0.00256047,0.00256047
35,117.872,2.13798,1.4011,1.67356,0.27529,0.18519,0.11349,0.02523,3.29098,2.79765,2.69465,0.00241473,0.00241473,0.00241473
36,120.589,2.04838,1.29857,1.61766,0.28878,0.2037,0.14057,0.03902,3.22991,2.57799,2.51467,0.00226899,0.00226899,0.00226899
37,123.329,1.96727,1.24402,1.52527,0.14331,0.27778,0.09738,0.03193,3.30973,2.61582,2.57872,0.00212324,0.00212324,0.00212324
38,126.151,2.07077,1.25962,1.588,0.21822,0.25926,0.12629,0.04143,2.96256,2.63474,2.3599,0.0019775,0.0019775,0.0019775
39,129.198,1.89892,1.20316,1.5095,0.31245,0.24412,0.15056,0.05327,2.84136,2.53034,2.28785,0.00183176,0.00183176,0.00183176
40,132.797,1.8907,1.16038,1.49255,0.2695,0.27778,0.15333,0.04886,2.94794,2.45692,2.34547,0.00168601,0.00168601,0.00168601
41,140.364,1.90648,1.23527,1.53233,0.42267,0.18519,0.17046,0.05166,3.08956,2.47798,2.41658,0.00154027,0.00154027,0.00154027
42,148.679,1.88026,1.23104,1.58498,0.45299,0.24074,0.2124,0.06546,3.11105,2.49967,2.34485,0.00139453,0.00139453,0.00139453
43,152.44,1.87167,1.24094,1.52876,0.29195,0.22146,0.12326,0.04783,3.17727,2.59451,2.35009,0.00124878,0.00124878,0.00124878
44,155.344,1.80539,1.11271,1.51103,0.23208,0.24074,0.12095,0.03714,3.1896,2.52528,2.38144,0.00110304,0.00110304,0.00110304
45,158.04,1.70418,1.02414,1.41271,0.22103,0.24074,0.11996,0.03867,3.11842,2.53252,2.35575,0.000957298,0.000957298,0.000957298
46,161.075,1.74407,1.05844,1.44861,0.21679,0.27778,0.13117,0.04976,3.00457,2.50538,2.2751,0.000811555,0.000811555,0.000811555
