epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.563,1.72586,3.92132,2.99691,1.72663,0.04717,0.08621,0.02171,0.00721,0.00098,0.03448,0.00057,0.0002,2.41153,114.377,88.865,2.42303,0.0937595,0.0007595,0.0007595
2,8.05215,1.7824,3.4663,2.62793,1.68649,0.01172,0.2931,0.00958,0.00252,0.00276,0.06897,0.00144,0.00028,2.4584,45.5256,inf,4.33612,0.0865953,0.00159528,0.00159528
3,10.8877,1.82085,3.435,2.50198,1.79352,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0793967,0.00239668,0.00239668
4,13.4595,1.80871,3.31375,2.36414,1.81168,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0721637,0.00316371,0.00316371
5,15.9359,1.78411,3.29265,2.29112,1.77839,0.00048,0.01724,0.00038,8e-05,0,0,0,0,nan,nan,nan,nan,0.0648964,0.00389637,0.00389637
6,18.5026,1.76695,3.31036,2.28503,1.75748,0.00048,0.01724,0.00049,0.00022,0,0,0,0,nan,nan,nan,nan,0.0575946,0.00459465,0.00459465
7,22.0029,1.79665,3.35571,2.20445,1.79879,0.00048,0.01724,0.00047,0.00022,0,0,0,0,nan,nan,nan,nan,0.0502586,0.00525856,0.00525856
8,24.5249,1.79369,3.32995,2.21754,1.80668,0.00048,0.01724,0.00032,9e-05,0.00048,0.01724,0.00031,0.00012,nan,nan,nan,nan,0.0428881,0.0058881,0.0058881
9,26.999,1.74855,3.39129,2.25349,1.79792,0.00048,0.01724,0.0003,6e-05,0,0,0,0,nan,nan,nan,nan,0.0354833,0.00648327,0.00648327
10,29.5413,1.78704,3.28737,2.1434,1.77795,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0280441,0.00704406,0.00704406
11,32.4081,1.72224,3.20439,2.13266,1.73919,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0205705,0.00757048,0.00757048
12,35.6055,1.72744,3.20514,2.13463,1.72755,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0130625,0.00806253,0.00806253
